# ADD TO THE TOP OF THE FILE PLEASE!!!
#
#   If you have a source update, list the package name as we've done before.
#   If you have a binary update, prepend "bin/" to your package name.  
#   If you have a .gar update, append ".gar". to your package name.
#
# YYYY-MM-DD;Package_Name-Version.Version;Toolkit Version;Type (bug sec enh);Description
2013-05-15;globus_proxy_utils-5.1.tar.gz;5.2.4;enh;GT-272: Increase default proxy key size
2013-05-15;globus_proxy_utils-3.12.tar.gz;5.0.5;enh;GT-272: Increase default proxy key size
2013-04-03;globus_ftp_control-4.6.tar.gz;5.2.4;bug;GT-366: GridFTP clients do not delegate by default
2013-04-02;gsi_openssh-5.6-src.tar.gz;5.2.4;bug;<a href="http://grid.ncsa.illinois.edu/ssh/pamuserchange-2013-01.adv">pamuserchange-2013-01.adv</a>
2013-02-19;globus_gram_job_manager_sge-1.6.tar.gz;5.2.4;bug;GT-359: SGE SEG hangs when log_path points to directory
2013-02-19;globus_simple_ca-3.3.tar.gz;5.2.4;bug;GT-362: simple ca loses spaces in dn in signing policy
2012-07-26;globus_gsi_callback-4.4.tar.gz;5.2.2;bug sec;GT-235: GSI does not reload CRLs if they are replaced
2012-07-26;myproxy-5.9.tar.gz;5.2.2;bug;myproxy-get-delegation: corrupted double-linked list in get_vomses() (bug 7261)
2012-05-25;globus_gatekeeper-9.13.tar.gz;5.2.1;enh;GT-205: gatekeeper should log a message when it exits due to the presence of /etc/nologin
2012-05-25;globus_gram_client_tools-10.4.tar.gz;5.2.1;bug;GT-198: globusrun crashes when authentication fails for status check
2012-05-25;globus_gram_job_manager-13.42.tar.gz;5.2.1;bug;GT-192: Segfault in globus-gram-streamer</br>GT-199: GRAM audit checks result username incorrectly<br/>GT-209: job manager crash in query<br/>
2012-05-25;globus_simple_ca-3.1.tar.gz;5.2.1;enh;GT-151: port to SuSE 11
2012-05-24;globus_gatekeeper-5.9.tar.gz;5.0.5;enh;GT-205: gatekeeper should log a message when it exits due to the presence of /etc/nologin
2012-05-18;globus_gssapi_gsi-10.7.tar.gz;5.2.1;bug;GT-149 Memory leaks in globus-job-manager<br/> RIC-265: (GT-161): Memory leak in gss_accept_delegation()
2012-05-18;globus_gsi_sysconfig-5.3.tar.gz;5.2.1;bug;GT-149 Memory leaks in globus-job-manager<br/> GT-188: gsi sysconfig leaves internal results in the error cache
2012-05-18;globus_gridftp_server-6.11.tar.gz;5.2.1;sec;Fix for GT-195: GridFTP acts as wrong user when user doesn't exist.<br />See <a href="http://lists.globus.org/pipermail/security-announce/2012-May/000019.html">Security Advisory 2012-01</a>
2012-05-18;globus_gridftp_server-3.42.tar.gz,globus_gridftp_server_control-0.50.tar.gz;5.0.5;sec;Fix for GT-195: GridFTP acts as wrong user when user doesn't exist.<br />See <a href="http://lists.globus.org/pipermail/security-announce/2012-May/000019.html">Security Advisory 2012-01</a>.<br />Note that globus_gridftp_server_control-0.50 is only required when updating GT 5.0.4 or below.
2012-05-18;globus_gram_job_manager-13.40.tar.gz;5.2.1;bug;GRAM-288: Kill off perl processes when idle<br />  GT-149: Memory leaks in globus-job-manager<br/> GT-185: globus-personal-gatekeeper creates too-long paths on MacOS<br/> GT-186: GRAM job manager leaks condor log path<br/> GT-187: GRAM job manager leaks during stdio update<br/> GT-189: GRAM job manager regular expression storage grows<br/> GT-190: GRAM job manager leaks callback contact<br/> GT-65: GRAM records datagram socket failure, but doesn't record socket name<br />GT-155: Job manager deletes job dir sometimes
2012-05-18;globus_gatekeeper-9.12.tar.gz;5.2.1;enh;GT-159: globus-gatekeeper init script should report errors better
2011-04-12;globus_xio-2.10;5.0.4;bug;Fix for GridFTP over quota errors not reporting until file is closed.<br/>RIC-241
2011-03-11;globus_gridftp_server-3.30;5.0.3;bug;Fix for DCSC command in striped server configuration.  Fix for partial transfers or restarts while in stream mode, when the restart/start offset is greater than 2GB.
2011-01-17;myproxy-5.3;5.0.2;sec;Fix myproxy-logon identity checking of myproxy-server. See <a href="http://lists.globus.org/pipermail/security-announce/2011-January/000018.html">Globus Security Advisory 2011-01</a> for more information.
2010-03-15;globus_gssapi_gsi-5.18,globus_openssl_module-0.8;4.2.1;bug;Fix for OpenSSL 0.9.8m compatibility (bug 6984)
2010-01-04;globus_gsi_proxy_core-3.7;4.2.1;bug;Fix for globus_gsi_proxy_create_req() segfault (bug 6910)
2009-07-07;globus_gridftp_server-3.17;4.2.1;sec; Fix for threaded builds of globus-gridftp-server allowing incorrect supplemental group permissions.  See <a href="http://lists.globus.org/pipermail/security-announce/2009-July/000010.html">sec advisory 2009-01</a> for more information.
2009-07-07;globus_gridftp_server-2.10;4.0.8;sec; Fix for threaded builds of globus-gridftp-server allowing incorrect supplemental group permissions.  See <a href="http://lists.globus.org/pipermail/security-announce/2009-July/000010.html">sec advisory 2009-01</a> for more information.
2009-06-09;globus_gass_cache-5.4;4.0.8;bug;Fix GASS cache leaving files on NFS (bug 6720)
2009-06-09;globus_gass_cache-5.4;4.2.1;bug;Fix GASS cache leaving files on NFS (bug 6720)
2008-12-16;globus_gsi_callback-0.38,globus_gsi_credential-1.14,globus_gssapi_gsi-4.16;4.0.8;sec enh;Support for certificate chains longer than 9 (bug 4994)
2008-12-01;globus_gsi_cert_utils-5.5;4.2.1;sec enh;Add support for pkcs12 in grid-change-passphrase (bug 6547). Set umask before creating temporary file (bug 6559)
2008-12-01;globus_gsi_cert_utils-2.13;4.0.8;sec;Set umask before creating temporary file (bug 6559)
